id,protected,Title,Company,Location,Duration,Stipend_per_month,Apply By,Applicants,Skills Required,Perks,Number of Openings,Incentives,Category
1,54622,Accounts,Cytomol Labs,Secunderabad,6,8000,31 Jan' 22,33 applicants,"Accounting , Tally , ",,1,0,Commerce
2,27305950,Graphic Design,Varistor Solar,Ajmer,6,6000,5 Feb' 22,Be an early applicant,"Adobe Photoshop , ","Certificate , Letter of recommendation , Flexible work hours , Informal dress code , 5 days a week , Free snacks & beverages , ",2,0,Graphic Design
3,22681506,Graphic Design,Rugas Technologies Private Limited,Work From Home,2,15000,10 Feb' 22,48 applicants,"Adobe Photoshop , Adobe XD , CSS , Figma , HTML , Sketch , ","Certificate , Flexible work hours , ",1,0,Graphic Design
4,57706912,Marketing,Glamanand Entertainment,Work From Home,4,5000,7 Feb' 22,53 applicants,"English Proficiency (Spoken) , English Proficiency (Written) , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , Job offer , ",6,0,Marketing
5,43990,Accounts,SocialWell,Bhubaneswar,6,6000,3 Feb' 22,Be an early applicant,"Accounting , ","Certificate , Informal dress code , ",1,0,Commerce
6,77854252,Social Media Marketing,Agrobeet Agritech Private Limited,Work From Home,3,5000,10 Feb' 22,27 applicants,"Creative Writing , Digital Marketing , Email Marketing , English Proficiency (Spoken) , English Proficiency (Written) , Facebook Marketing , Instagram Marketing , Search Engine Marketing (SEM) , Search Engine Optimization (SEO) , Social Media Marketing , ","Certificate , Letter of recommendation , ",1,0,Marketing
7,99231582,Social Media Marketing,Glyptic Arts,Work From Home,3,1500,31 Jan' 22,Be an early applicant,,"Certificate , Letter of recommendation , Job offer , ",1,1,Marketing
8,41776932,Human Resources (HR),Spinnovative Solutions,Bangalore,6,10000,1 Feb' 22,47 applicants,"Recruitment , ","Certificate , Letter of recommendation , Informal dress code , ",10,0,Human Resources
9,48783340,Business Development (Sales),Zigsaw Consultancy,Work From Home,3,3000,11 Feb' 22,Be an early applicant,,"Certificate , Letter of recommendation , Flexible work hours , 5 days a week , ",10,1,Marketing
10,56527942,Business Development (Sales),MFolks Incorporation,Work From Home,2,2000,7 Feb' 22,Be an early applicant,"Digital Marketing , Email Marketing , English Proficiency (Spoken) , English Proficiency (Written) , MS-Excel , Search Engine Marketing (SEM) , Social Media Marketing , ","Certificate , Letter of recommendation , 5 days a week , Job offer , ",2,0,Marketing
11,96442320,Digital Marketing,Space N Pace,Kolkata,2,6000,1 Feb' 22,Be an early applicant,"Digital Marketing , Facebook Marketing , ","Certificate , Letter of recommendation , Informal dress code , Free snacks & beverages , ",2,0,Marketing
12,118690230,Business Development (Sales),FINTITUDE,Noida,3,9000,11 Feb' 22,Be an early applicant,,"Certificate , ",6,0,Marketing
13,5825082,Web Development,I RISE I SERVE INDIA FOUNDATION,Work From Home,6,0,31 Jan' 22,34 applicants,"Bootstrap , CSS , HTML , ","Certificate , Letter of recommendation , Flexible work hours , ",2,0,Computer Science
14,102728460,Social Media Marketing,Dreamyflies,Work From Home,3,1000,31 Jan' 22,Be an early applicant,"Adobe Photoshop , Creative Writing , Digital Marketing , Email Marketing , Facebook Marketing , Instagram Marketing , Social Media Marketing , ","Certificate , Letter of recommendation , Flexible work hours , ",3,0,Marketing
15,26496856,Graphic Design,Musejam,Delhi,6,8000,6 Feb' 22,26 applicants,"Adobe Photoshop , CorelDRAW , ","Certificate , Letter of recommendation , 5 days a week , Job offer , ",2,0,Graphic Design
16,126303982,Subject Matter Expert (Mathematics),Kunduz Incorporation,Work From Home,2,5000,4 Feb' 22,604 applicants,"Mathematics , Subject Matter Expert (SME) , ","Flexible work hours , ",10,0,Science
17,79450582,Digital Marketing,Your Career Coach,Work From Home,2,3000,9 Feb' 22,27 applicants,"Adobe Photoshop , Digital Marketing , Email Marketing , Facebook Marketing , Instagram Marketing , Search Engine Marketing (SEM) , Search Engine Optimization (SEO) , Social Media Marketing , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , ",2,1,Marketing
18,9165856,Content Writing,Webtechage Private Limited,Noida,3,5000,12 Feb' 22,62 applicants,,"Certificate , ",5,0,Content Writing
19,759612,Web Development,Vikas Singh,Work From Home,2,10000,9 Feb' 22,233 applicants,"CSS , HTML , JavaScript , Node.js , ReactJS , ","Certificate , Letter of recommendation , Flexible work hours , ",2,0,Computer Science
20,131641302,Video Editing,Mobility Alliance And Social Sustainability Foundation,Work From Home,6,0,2 Feb' 22,Be an early applicant,,"Certificate , Letter of recommendation , Flexible work hours , ",2,0,Volunteering
21,1596532,Artificial Neural Networks,Finplex Solutions,Work From Home,2,0,7 Feb' 22,144 applicants,"Artifical Intelligence , Machine Learning , Python , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , ",2,0,Computer Science
22,2619642,Web Development,Gigaforce Software Limited,Delhi,6,15000,4 Feb' 22,49 applicants,"Java , ","Certificate , Letter of recommendation , Flexible work hours , Informal dress code , 5 days a week , Job offer , ",4,0,Computer Science
23,39885640,Human Resources (HR),Yatra Softech Private Limited,Work From Home,3,2500,4 Feb' 22,51 applicants,"Recruitment , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , ",4,0,Human Resources
24,70837572,Marketing & Data Entry,Startup201,Work From Home,1,1000,31 Jan' 22,617 applicants,,"Certificate , Letter of recommendation , ",1,0,Marketing
25,28424992,Graphic Design,Brewed Media,Work From Home,3,5000,3 Feb' 22,40 applicants,"Adobe Creative Suite , Adobe Illustrator , Adobe Photoshop , Adobe Photoshop Lightroom CC , CorelDRAW , MS-PowerPoint , ","Certificate , Letter of recommendation , ",2,0,Graphic Design
26,59005542,Business Development (Sales),Fatcat Media Private Limited,Chandigarh,1,10000,5 Feb' 22,Be an early applicant,"English Proficiency (Spoken) , MS-Excel , MS-PowerPoint , ","Certificate , Letter of recommendation , Informal dress code , 5 days a week , Free snacks & beverages , Job offer , ",2,0,Marketing
27,84465390,Social Media Marketing,Glenand Group,Bangalore,3,3000,7 Feb' 22,Be an early applicant,"Facebook Marketing , Social Media Marketing , ","Certificate , Letter of recommendation , Flexible work hours , Informal dress code , 5 days a week , ",5,0,Marketing
